,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature
0,4,0,25,25,50,6.0,1600,25
1,2,1,85,55,40,6.5,800,15
2,1,4,85,50,45,7.0,1400,30
3,0,0,120,75,80,8.5,500,25
4,4,4,70,60,45,6.0,800,25
5,2,3,25,25,30,6.5,1000,30
6,2,5,105,80,60,6.0,900,30
7,3,0,30,30,30,6.0,700,25
8,2,5,105,60,55,6.5,900,30
9,3,6,120,50,50,6.5,700,15
10,1,0,45,25,40,6.0,500,30
11,1,0,125,85,120,6.5,1000,35
12,1,0,60,25,25,6.5,500,30
13,2,5,110,60,65,6.5,1000,35
14,1,0,150,85,150,6.0,900,20
15,2,1,80,50,40,6.5,600,20
16,2,1,105,60,60,6.0,900,20
17,3,0,145,80,140,7.0,1400,20
18,0,0,65,30,25,6.5,400,30
19,3,0,35,45,30,6.0,800,15
20,3,6,115,55,45,7.0,800,20
21,1,0,45,20,35,7.5,400,25
22,1,0,60,45,45,6.5,600,20
23,2,5,105,65,50,7.0,1000,35
24,1,4,115,60,60,6.0,1400,30
25,2,1,140,75,55,7.5,500,20
26,2,1,90,45,50,6.5,1000,25
27,3,0,40,35,20,6.5,800,30
28,4,0,120,60,45,7.0,800,20
29,1,0,120,80,140,6.5,900,20
30,4,0,135,80,50,7.5,600,25
31,2,1,120,70,50,7.0,700,30
32,2,0,35,35,30,7.5,800,30
33,2,0,75,60,110,7.5,1200,30
34,0,0,150,80,80,8.5,1100,20
35,4,6,135,80,85,6.5,700,30
36,4,0,120,75,50,7.0,600,30
37,3,4,20,40,25,6.5,900,35
38,2,5,140,50,60,7.0,1000,35
39,1,0,50,20,40,6.0,600,35
40,1,4,115,45,45,6.5,1100,30
41,4,0,50,20,20,6.5,400,25
42,3,6,105,60,45,7.5,900,15
43,4,0,25,30,50,6.5,1700,30
44,4,0,25,20,45,5.5,1500,20
45,2,5,135,45,50,6.0,800,25
46,1,4,95,40,45,6.5,1500,35
47,1,0,80,50,40,6.5,700,25
48,4,0,105,60,60,6.0,800,20
49,3,0,30,40,20,7.0,900,35
50,2,1,110,60,45,6.5,1000,25
